Provider ID,Hospital Name,Address,City,State,ZIP Code,County Name,Phone Number,TRISS Measure ID,Survey Question,Answer Description,Patient Survey Star Rating,Patient Survey Star Rating Footnote,Answer Percent,Answer Percent Footnote,Number of Completed Surveys,Number of Completed Surveys Footnote,Survey Response Rate,Survey Response Rate Footnote,Measure Start Date,Measure End Date
10013F,NAVAL HOSPITAL JACKSONVILLE,2080 CHILD STREET,JACKSONVILLE,FL,32214,DUVAL,(904) 542-7300,H_QUIET_STAR_RATING,Quietness - star rating,Quietness - star rating,4,,Not Applicable,,809,,38%,,7/1/2016,6/30/2017
10013F,NAVAL HOSPITAL JACKSONVILLE,2080 CHILD STREET,JACKSONVILLE,FL,32214,DUVAL,(904) 542-7300,H_RECMND_DY,"Patients who reported YES, they would definitely recommend the hospital","""YES"", patients would definitely recommend the hospital",Not Applicable,,75,,809,,38%,,7/1/2016,6/30/2017
10013F,NAVAL HOSPITAL JACKSONVILLE,2080 CHILD STREET,JACKSONVILLE,FL,32214,DUVAL,(904) 542-7300,H_RECMND_STAR_RATING,Recommend hospital - star rating,Recommend hospital - star rating,3,,Not Applicable,,809,,38%,,7/1/2016,6/30/2017
10013F,NAVAL HOSPITAL JACKSONVILLE,2080 CHILD STREET,JACKSONVILLE,FL,32214,DUVAL,(904) 542-7300,H_STAR_RATING,Summary star rating,Summary star rating,4,,Not Applicable,,809,,38%,,7/1/2016,6/30/2017
10021F,"96TH MEDICAL GROUP, EGLIN","307 BOATNER ROAD, SUITE 114",EGLIN AIR FORCE BASE,FL,32542,OKALOOSA,(850) 883-8600,H_CLEAN_HSP_A_P,"Patients who reported that their room and bathroom were ""Always"" clean","Room was ""Always"" clean",Not Applicable,,73,,1058,,41%,,7/1/2016,6/30/2017
10021F,"96TH MEDICAL GROUP, EGLIN","307 BOATNER ROAD, SUITE 114",EGLIN AIR FORCE BASE,FL,32542,OKALOOSA,(850) 883-8600,H_CLEAN_STAR_RATING,Cleanliness - star rating,Cleanliness - star rating,2,,Not Applicable,,1058,,41%,,7/1/2016,6/30/2017
10021F,"96TH MEDICAL GROUP, EGLIN","307 BOATNER ROAD, SUITE 114",EGLIN AIR FORCE BASE,FL,32542,OKALOOSA,(850) 883-8600,H_COMP_1_A_P,"Patients who reported that their nurses ""Always"" communicated well","Nurses ""Always"" communicated well",Not Applicable,,89,,1058,,41%,,7/1/2016,6/30/2017
10021F,"96TH MEDICAL GROUP, EGLIN","307 BOATNER ROAD, SUITE 114",EGLIN AIR FORCE BASE,FL,32542,OKALOOSA,(850) 883-8600,H_COMP_1_STAR_RATING,Nurse communication - star rating,Nurse communication - star rating,5,,Not Applicable,,1058,,41%,,7/1/2016,6/30/2017
10021F,"96TH MEDICAL GROUP, EGLIN","307 BOATNER ROAD, SUITE 114",EGLIN AIR FORCE BASE,FL,32542,OKALOOSA,(850) 883-8600,H_COMP_2_A_P,"Patients who reported that their doctors ""Always"" communicated well","Doctors ""Always"" communicated well",Not Applicable,,89,,1058,,41%,,7/1/2016,6/30/2017
10021F,"96TH MEDICAL GROUP, EGLIN","307 BOATNER ROAD, SUITE 114",EGLIN AIR FORCE BASE,FL,32542,OKALOOSA,(850) 883-8600,H_COMP_2_STAR_RATING,Doctor communication - star rating,Doctor communication - star rating,5,,Not Applicable,,1058,,41%,,7/1/2016,6/30/2017
10021F,"96TH MEDICAL GROUP, EGLIN","307 BOATNER ROAD, SUITE 114",EGLIN AIR FORCE BASE,FL,32542,OKALOOSA,(850) 883-8600,H_COMP_3_A_P,"Patients who reported that they ""Always"" received help as soon as they wanted","Patients ""Always"" received help as soon as they wanted",Not Applicable,,82,,1058,,41%,,7/1/2016,6/30/2017
10021F,"96TH MEDICAL GROUP, EGLIN","307 BOATNER ROAD, SUITE 114",EGLIN AIR FORCE BASE,FL,32542,OKALOOSA,(850) 883-8600,H_COMP_3_STAR_RATING,Staff responsiveness - star rating,Staff responsiveness - star rating,5,,Not Applicable,,1058,,41%,,7/1/2016,6/30/2017
10021F,"96TH MEDICAL GROUP, EGLIN","307 BOATNER ROAD, SUITE 114",EGLIN AIR FORCE BASE,FL,32542,OKALOOSA,(850) 883-8600,H_COMP_4_A_P,"Patients who reported that their pain was ""Always"" well controlled","Pain was ""Always"" well controlled",Not Applicable,,Not Available,5 - Results are not available for this reporting period.,1058,,41%,,7/1/2016,6/30/2017
10021F,"96TH MEDICAL GROUP, EGLIN","307 BOATNER ROAD, SUITE 114",EGLIN AIR FORCE BASE,FL,32542,OKALOOSA,(850) 883-8600,H_COMP_4_STAR_RATING,Pain management - star rating,Pain management - star rating,Not Available,5 - Results are not available for this reporting period.,Not Applicable,,1058,,41%,,7/1/2016,6/30/2017
10021F,"96TH MEDICAL GROUP, EGLIN","307 BOATNER ROAD, SUITE 114",EGLIN AIR FORCE BASE,FL,32542,OKALOOSA,(850) 883-8600,H_COMP_5_A_P,"Patients who reported that staff ""Always"" explained about medicines before giving it to them","Staff ""Always"" explained",Not Applicable,,77,,1058,,41%,,7/1/2016,6/30/2017
10021F,"96TH MEDICAL GROUP, EGLIN","307 BOATNER ROAD, SUITE 114",EGLIN AIR FORCE BASE,FL,32542,OKALOOSA,(850) 883-8600,H_COMP_5_STAR_RATING,Communication about medicines - star rating,Communication about medicines - star rating,5,,Not Applicable,,1058,,41%,,7/1/2016,6/30/2017
10021F,"96TH MEDICAL GROUP, EGLIN","307 BOATNER ROAD, SUITE 114",EGLIN AIR FORCE BASE,FL,32542,OKALOOSA,(850) 883-8600,H_COMP_6_STAR_RATING,Discharge information - star rating,Discharge information - star rating,3,,Not Applicable,,1058,,41%,,7/1/2016,6/30/2017
10021F,"96TH MEDICAL GROUP, EGLIN","307 BOATNER ROAD, SUITE 114",EGLIN AIR FORCE BASE,FL,32542,OKALOOSA,(850) 883-8600,H_COMP_6_Y_P,"Patients who reported that YES, they were given information about what to do during their recovery at home","Yes, staff ""did"" give patients this information",Not Applicable,,90,,1058,,41%,,7/1/2016,6/30/2017
10021F,"96TH MEDICAL GROUP, EGLIN","307 BOATNER ROAD, SUITE 114",EGLIN AIR FORCE BASE,FL,32542,OKALOOSA,(850) 883-8600,H_COMP_7_SA,"Patients who ""Strongly Agree"" they understood their care when they left the hospital","Patients who ""Strongly Agree"" they understood their care when they left the hospital",Not Applicable,,65,,1058,,41%,,7/1/2016,6/30/2017
10021F,"96TH MEDICAL GROUP, EGLIN","307 BOATNER ROAD, SUITE 114",EGLIN AIR FORCE BASE,FL,32542,OKALOOSA,(850) 883-8600,H_COMP_7_STAR_RATING,Care transition - star rating,Care transition - star rating,5,,Not Applicable,,1058,,41%,,7/1/2016,6/30/2017
10021F,"96TH MEDICAL GROUP, EGLIN","307 BOATNER ROAD, SUITE 114",EGLIN AIR FORCE BASE,FL,32542,OKALOOSA,(850) 883-8600,H_HSP_RATING_9_10,Patients who gave their hospital a rating of 9 or 10 on a scale from 0 (lowest) to 10 (highest),"Patients who gave a rating of ""9"" or ""10"" (high)",Not Applicable,,75,,1058,,41%,,7/1/2016,6/30/2017
10021F,"96TH MEDICAL GROUP, EGLIN","307 BOATNER ROAD, SUITE 114",EGLIN AIR FORCE BASE,FL,32542,OKALOOSA,(850) 883-8600,H_HSP_RATING_STAR_RATING,Overall hospital rating - star rating,Overall hospital rating - star rating,4,,Not Applicable,,1058,,41%,,7/1/2016,6/30/2017
10021F,"96TH MEDICAL GROUP, EGLIN","307 BOATNER ROAD, SUITE 114",EGLIN AIR FORCE BASE,FL,32542,OKALOOSA,(850) 883-8600,H_QUIET_HSP_A_P,"Patients who reported that the area around their room was ""Always"" quiet at night","""Always"" quiet at night",Not Applicable,,72,,1058,,41%,,7/1/2016,6/30/2017
10021F,"96TH MEDICAL GROUP, EGLIN","307 BOATNER ROAD, SUITE 114",EGLIN AIR FORCE BASE,FL,32542,OKALOOSA,(850) 883-8600,H_QUIET_STAR_RATING,Quietness - star rating,Quietness - star rating,4,,Not Applicable,,1058,,41%,,7/1/2016,6/30/2017
10021F,"96TH MEDICAL GROUP, EGLIN","307 BOATNER ROAD, SUITE 114",EGLIN AIR FORCE BASE,FL,32542,OKALOOSA,(850) 883-8600,H_RECMND_DY,"Patients who reported YES, they would definitely recommend the hospital","""YES"", patients would definitely recommend the hospital",Not Applicable,,80,,1058,,41%,,7/1/2016,6/30/2017
10021F,"96TH MEDICAL GROUP, EGLIN","307 BOATNER ROAD, SUITE 114",EGLIN AIR FORCE BASE,FL,32542,OKALOOSA,(850) 883-8600,H_RECMND_STAR_RATING,Recommend hospital - star rating,Recommend hospital - star rating,4,,Not Applicable,,1058,,41%,,7/1/2016,6/30/2017
10021F,"96TH MEDICAL GROUP, EGLIN","307 BOATNER ROAD, SUITE 114",EGLIN AIR FORCE BASE,FL,32542,OKALOOSA,(850) 883-8600,H_STAR_RATING,Summary star rating,Summary star rating,4,,Not Applicable,,1058,,41%,,7/1/2016,6/30/2017
11033F,"EISENHOWER ARMY MEDICAL CENTER, FT. GORDON",300 EAST HOSPITAL ROAD,FORT GORDON,GA,30905,RICHMOND,(706) 787-5811,H_CLEAN_HSP_A_P,"Patients who reported that their room and bathroom were ""Always"" clean","Room was ""Always"" clean",Not Applicable,,77,,1353,,49%,,7/1/2016,6/30/2017
11033F,"EISENHOWER ARMY MEDICAL CENTER, FT. GORDON",300 EAST HOSPITAL ROAD,FORT GORDON,GA,30905,RICHMOND,(706) 787-5811,H_CLEAN_STAR_RATING,Cleanliness - star rating,Cleanliness - star rating,4,,Not Applicable,,1353,,49%,,7/1/2016,6/30/2017
11033F,"EISENHOWER ARMY MEDICAL CENTER, FT. GORDON",300 EAST HOSPITAL ROAD,FORT GORDON,GA,30905,RICHMOND,(706) 787-5811,H_COMP_1_A_P,"Patients who reported that their nurses ""Always"" communicated well","Nurses ""Always"" communicated well",Not Applicable,,87,,1353,,49%,,7/1/2016,6/30/2017
11033F,"EISENHOWER ARMY MEDICAL CENTER, FT. GORDON",300 EAST HOSPITAL ROAD,FORT GORDON,GA,30905,RICHMOND,(706) 787-5811,H_COMP_1_STAR_RATING,Nurse communication - star rating,Nurse communication - star rating,4,,Not Applicable,,1353,,49%,,7/1/2016,6/30/2017
11033F,"EISENHOWER ARMY MEDICAL CENTER, FT. GORDON",300 EAST HOSPITAL ROAD,FORT GORDON,GA,30905,RICHMOND,(706) 787-5811,H_COMP_2_A_P,"Patients who reported that their doctors ""Always"" communicated well","Doctors ""Always"" communicated well",Not Applicable,,91,,1353,,49%,,7/1/2016,6/30/2017
11033F,"EISENHOWER ARMY MEDICAL CENTER, FT. GORDON",300 EAST HOSPITAL ROAD,FORT GORDON,GA,30905,RICHMOND,(706) 787-5811,H_COMP_2_STAR_RATING,Doctor communication - star rating,Doctor communication - star rating,5,,Not Applicable,,1353,,49%,,7/1/2016,6/30/2017
11033F,"EISENHOWER ARMY MEDICAL CENTER, FT. GORDON",300 EAST HOSPITAL ROAD,FORT GORDON,GA,30905,RICHMOND,(706) 787-5811,H_COMP_3_A_P,"Patients who reported that they ""Always"" received help as soon as they wanted","Patients ""Always"" received help as soon as they wanted",Not Applicable,,79,,1353,,49%,,7/1/2016,6/30/2017
11033F,"EISENHOWER ARMY MEDICAL CENTER, FT. GORDON",300 EAST HOSPITAL ROAD,FORT GORDON,GA,30905,RICHMOND,(706) 787-5811,H_COMP_3_STAR_RATING,Staff responsiveness - star rating,Staff responsiveness - star rating,4,,Not Applicable,,1353,,49%,,7/1/2016,6/30/2017
11033F,"EISENHOWER ARMY MEDICAL CENTER, FT. GORDON",300 EAST HOSPITAL ROAD,FORT GORDON,GA,30905,RICHMOND,(706) 787-5811,H_COMP_4_A_P,"Patients who reported that their pain was ""Always"" well controlled","Pain was ""Always"" well controlled",Not Applicable,,Not Available,5 - Results are not available for this reporting period.,1353,,49%,,7/1/2016,6/30/2017
11033F,"EISENHOWER ARMY MEDICAL CENTER, FT. GORDON",300 EAST HOSPITAL ROAD,FORT GORDON,GA,30905,RICHMOND,(706) 787-5811,H_COMP_4_STAR_RATING,Pain management - star rating,Pain management - star rating,Not Available,5 - Results are not available for this reporting period.,Not Applicable,,1353,,49%,,7/1/2016,6/30/2017
11033F,"EISENHOWER ARMY MEDICAL CENTER, FT. GORDON",300 EAST HOSPITAL ROAD,FORT GORDON,GA,30905,RICHMOND,(706) 787-5811,H_COMP_5_A_P,"Patients who reported that staff ""Always"" explained about medicines before giving it to them","Staff ""Always"" explained",Not Applicable,,78,,1353,,49%,,7/1/2016,6/30/2017
11033F,"EISENHOWER ARMY MEDICAL CENTER, FT. GORDON",300 EAST HOSPITAL ROAD,FORT GORDON,GA,30905,RICHMOND,(706) 787-5811,H_COMP_5_STAR_RATING,Communication about medicines - star rating,Communication about medicines - star rating,5,,Not Applicable,,1353,,49%,,7/1/2016,6/30/2017
11033F,"EISENHOWER ARMY MEDICAL CENTER, FT. GORDON",300 EAST HOSPITAL ROAD,FORT GORDON,GA,30905,RICHMOND,(706) 787-5811,H_COMP_6_STAR_RATING,Discharge information - star rating,Discharge information - star rating,3,,Not Applicable,,1353,,49%,,7/1/2016,6/30/2017
11033F,"EISENHOWER ARMY MEDICAL CENTER, FT. GORDON",300 EAST HOSPITAL ROAD,FORT GORDON,GA,30905,RICHMOND,(706) 787-5811,H_COMP_6_Y_P,"Patients who reported that YES, they were given information about what to do during their recovery at home","Yes, staff ""did"" give patients this information",Not Applicable,,91,,1353,,49%,,7/1/2016,6/30/2017
11033F,"EISENHOWER ARMY MEDICAL CENTER, FT. GORDON",300 EAST HOSPITAL ROAD,FORT GORDON,GA,30905,RICHMOND,(706) 787-5811,H_COMP_7_SA,"Patients who ""Strongly Agree"" they understood their care when they left the hospital","Patients who ""Strongly Agree"" they understood their care when they left the hospital",Not Applicable,,67,,1353,,49%,,7/1/2016,6/30/2017
11033F,"EISENHOWER ARMY MEDICAL CENTER, FT. GORDON",300 EAST HOSPITAL ROAD,FORT GORDON,GA,30905,RICHMOND,(706) 787-5811,H_COMP_7_STAR_RATING,Care transition - star rating,Care transition - star rating,5,,Not Applicable,,1353,,49%,,7/1/2016,6/30/2017
11033F,"EISENHOWER ARMY MEDICAL CENTER, FT. GORDON",300 EAST HOSPITAL ROAD,FORT GORDON,GA,30905,RICHMOND,(706) 787-5811,H_HSP_RATING_9_10,Patients who gave their hospital a rating of 9 or 10 on a scale from 0 (lowest) to 10 (highest),"Patients who gave a rating of ""9"" or ""10"" (high)",Not Applicable,,77,,1353,,49%,,7/1/2016,6/30/2017
11033F,"EISENHOWER ARMY MEDICAL CENTER, FT. GORDON",300 EAST HOSPITAL ROAD,FORT GORDON,GA,30905,RICHMOND,(706) 787-5811,H_HSP_RATING_STAR_RATING,Overall hospital rating - star rating,Overall hospital rating - star rating,4,,Not Applicable,,1353,,49%,,7/1/2016,6/30/2017
11033F,"EISENHOWER ARMY MEDICAL CENTER, FT. GORDON",300 EAST HOSPITAL ROAD,FORT GORDON,GA,30905,RICHMOND,(706) 787-5811,H_QUIET_HSP_A_P,"Patients who reported that the area around their room was ""Always"" quiet at night","""Always"" quiet at night",Not Applicable,,61,,1353,,49%,,7/1/2016,6/30/2017
11033F,"EISENHOWER ARMY MEDICAL CENTER, FT. GORDON",300 EAST HOSPITAL ROAD,FORT GORDON,GA,30905,RICHMOND,(706) 787-5811,H_QUIET_STAR_RATING,Quietness - star rating,Quietness - star rating,3,,Not Applicable,,1353,,49%,,7/1/2016,6/30/2017
11033F,"EISENHOWER ARMY MEDICAL CENTER, FT. GORDON",300 EAST HOSPITAL ROAD,FORT GORDON,GA,30905,RICHMOND,(706) 787-5811,H_RECMND_DY,"Patients who reported YES, they would definitely recommend the hospital","""YES"", patients would definitely recommend the hospital",Not Applicable,,78,,1353,,49%,,7/1/2016,6/30/2017
11033F,"EISENHOWER ARMY MEDICAL CENTER, FT. GORDON",300 EAST HOSPITAL ROAD,FORT GORDON,GA,30905,RICHMOND,(706) 787-5811,H_RECMND_STAR_RATING,Recommend hospital - star rating,Recommend hospital - star rating,4,,Not Applicable,,1353,,49%,,7/1/2016,6/30/2017
11033F,"EISENHOWER ARMY MEDICAL CENTER, FT. GORDON",300 EAST HOSPITAL ROAD,FORT GORDON,GA,30905,RICHMOND,(706) 787-5811,H_STAR_RATING,Summary star rating,Summary star rating,4,,Not Applicable,,1353,,49%,,7/1/2016,6/30/2017
11032F,"MARTIN ARMY COMMUNITY HOSPITAL, FT. BENNING",6600 VAN AALST BOULEVARD,FORT BENNING,GA,31905,CHATTAHOOCHEE,(762) 408-2604,H_CLEAN_HSP_A_P,"Patients who reported that their room and bathroom were ""Always"" clean","Room was ""Always"" clean",Not Applicable,,82,,748,,35%,,7/1/2016,6/30/2017
11032F,"MARTIN ARMY COMMUNITY HOSPITAL, FT. BENNING",6600 VAN AALST BOULEVARD,FORT BENNING,GA,31905,CHATTAHOOCHEE,(762) 408-2604,H_CLEAN_STAR_RATING,Cleanliness - star rating,Cleanliness - star rating,4,,Not Applicable,,748,,35%,,7/1/2016,6/30/2017
11032F,"MARTIN ARMY COMMUNITY HOSPITAL, FT. BENNING",6600 VAN AALST BOULEVARD,FORT BENNING,GA,31905,CHATTAHOOCHEE,(762) 408-2604,H_COMP_1_A_P,"Patients who reported that their nurses ""Always"" communicated well","Nurses ""Always"" communicated well",Not Applicable,,84,,748,,35%,,7/1/2016,6/30/2017
11032F,"MARTIN ARMY COMMUNITY HOSPITAL, FT. BENNING",6600 VAN AALST BOULEVARD,FORT BENNING,GA,31905,CHATTAHOOCHEE,(762) 408-2604,H_COMP_1_STAR_RATING,Nurse communication - star rating,Nurse communication - star rating,4,,Not Applicable,,748,,35%,,7/1/2016,6/30/2017
11032F,"MARTIN ARMY COMMUNITY HOSPITAL, FT. BENNING",6600 VAN AALST BOULEVARD,FORT BENNING,GA,31905,CHATTAHOOCHEE,(762) 408-2604,H_COMP_2_A_P,"Patients who reported that their doctors ""Always"" communicated well","Doctors ""Always"" communicated well",Not Applicable,,89,,748,,35%,,7/1/2016,6/30/2017
11032F,"MARTIN ARMY COMMUNITY HOSPITAL, FT. BENNING",6600 VAN AALST BOULEVARD,FORT BENNING,GA,31905,CHATTAHOOCHEE,(762) 408-2604,H_COMP_2_STAR_RATING,Doctor communication - star rating,Doctor communication - star rating,5,,Not Applicable,,748,,35%,,7/1/2016,6/30/2017
11032F,"MARTIN ARMY COMMUNITY HOSPITAL, FT. BENNING",6600 VAN AALST BOULEVARD,FORT BENNING,GA,31905,CHATTAHOOCHEE,(762) 408-2604,H_COMP_3_A_P,"Patients who reported that they ""Always"" received help as soon as they wanted","Patients ""Always"" received help as soon as they wanted",Not Applicable,,77,,748,,35%,,7/1/2016,6/30/2017
11032F,"MARTIN ARMY COMMUNITY HOSPITAL, FT. BENNING",6600 VAN AALST BOULEVARD,FORT BENNING,GA,31905,CHATTAHOOCHEE,(762) 408-2604,H_COMP_3_STAR_RATING,Staff responsiveness - star rating,Staff responsiveness - star rating,4,,Not Applicable,,748,,35%,,7/1/2016,6/30/2017
11032F,"MARTIN ARMY COMMUNITY HOSPITAL, FT. BENNING",6600 VAN AALST BOULEVARD,FORT BENNING,GA,31905,CHATTAHOOCHEE,(762) 408-2604,H_COMP_4_A_P,"Patients who reported that their pain was ""Always"" well controlled","Pain was ""Always"" well controlled",Not Applicable,,Not Available,5 - Results are not available for this reporting period.,748,,35%,,7/1/2016,6/30/2017
11032F,"MARTIN ARMY COMMUNITY HOSPITAL, FT. BENNING",6600 VAN AALST BOULEVARD,FORT BENNING,GA,31905,CHATTAHOOCHEE,(762) 408-2604,H_COMP_4_STAR_RATING,Pain management - star rating,Pain management - star rating,Not Available,5 - Results are not available for this reporting period.,Not Applicable,,748,,35%,,7/1/2016,6/30/2017
11032F,"MARTIN ARMY COMMUNITY HOSPITAL, FT. BENNING",6600 VAN AALST BOULEVARD,FORT BENNING,GA,31905,CHATTAHOOCHEE,(762) 408-2604,H_COMP_5_A_P,"Patients who reported that staff ""Always"" explained about medicines before giving it to them","Staff ""Always"" explained",Not Applicable,,74,,748,,35%,,7/1/2016,6/30/2017
11032F,"MARTIN ARMY COMMUNITY HOSPITAL, FT. BENNING",6600 VAN AALST BOULEVARD,FORT BENNING,GA,31905,CHATTAHOOCHEE,(762) 408-2604,H_COMP_5_STAR_RATING,Communication about medicines - star rating,Communication about medicines - star rating,5,,Not Applicable,,748,,35%,,7/1/2016,6/30/2017
11032F,"MARTIN ARMY COMMUNITY HOSPITAL, FT. BENNING",6600 VAN AALST BOULEVARD,FORT BENNING,GA,31905,CHATTAHOOCHEE,(762) 408-2604,H_COMP_6_STAR_RATING,Discharge information - star rating,Discharge information - star rating,3,,Not Applicable,,748,,35%,,7/1/2016,6/30/2017
11032F,"MARTIN ARMY COMMUNITY HOSPITAL, FT. BENNING",6600 VAN AALST BOULEVARD,FORT BENNING,GA,31905,CHATTAHOOCHEE,(762) 408-2604,H_COMP_6_Y_P,"Patients who reported that YES, they were given information about what to do during their recovery at home","Yes, staff ""did"" give patients this information",Not Applicable,,91,,748,,35%,,7/1/2016,6/30/2017
11032F,"MARTIN ARMY COMMUNITY HOSPITAL, FT. BENNING",6600 VAN AALST BOULEVARD,FORT BENNING,GA,31905,CHATTAHOOCHEE,(762) 408-2604,H_COMP_7_SA,"Patients who ""Strongly Agree"" they understood their care when they left the hospital","Patients who ""Strongly Agree"" they understood their care when they left the hospital",Not Applicable,,64,,748,,35%,,7/1/2016,6/30/2017
11032F,"MARTIN ARMY COMMUNITY HOSPITAL, FT. BENNING",6600 VAN AALST BOULEVARD,FORT BENNING,GA,31905,CHATTAHOOCHEE,(762) 408-2604,H_COMP_7_STAR_RATING,Care transition - star rating,Care transition - star rating,5,,Not Applicable,,748,,35%,,7/1/2016,6/30/2017
11032F,"MARTIN ARMY COMMUNITY HOSPITAL, FT. BENNING",6600 VAN AALST BOULEVARD,FORT BENNING,GA,31905,CHATTAHOOCHEE,(762) 408-2604,H_HSP_RATING_9_10,Patients who gave their hospital a rating of 9 or 10 on a scale from 0 (lowest) to 10 (highest),"Patients who gave a rating of ""9"" or ""10"" (high)",Not Applicable,,77,,748,,35%,,7/1/2016,6/30/2017
11032F,"MARTIN ARMY COMMUNITY HOSPITAL, FT. BENNING",6600 VAN AALST BOULEVARD,FORT BENNING,GA,31905,CHATTAHOOCHEE,(762) 408-2604,H_HSP_RATING_STAR_RATING,Overall hospital rating - star rating,Overall hospital rating - star rating,4,,Not Applicable,,748,,35%,,7/1/2016,6/30/2017
11032F,"MARTIN ARMY COMMUNITY HOSPITAL, FT. BENNING",6600 VAN AALST BOULEVARD,FORT BENNING,GA,31905,CHATTAHOOCHEE,(762) 408-2604,H_QUIET_HSP_A_P,"Patients who reported that the area around their room was ""Always"" quiet at night","""Always"" quiet at night",Not Applicable,,79,,748,,35%,,7/1/2016,6/30/2017
11032F,"MARTIN ARMY COMMUNITY HOSPITAL, FT. BENNING",6600 VAN AALST BOULEVARD,FORT BENNING,GA,31905,CHATTAHOOCHEE,(762) 408-2604,H_QUIET_STAR_RATING,Quietness - star rating,Quietness - star rating,4,,Not Applicable,,748,,35%,,7/1/2016,6/30/2017
11032F,"MARTIN ARMY COMMUNITY HOSPITAL, FT. BENNING",6600 VAN AALST BOULEVARD,FORT BENNING,GA,31905,CHATTAHOOCHEE,(762) 408-2604,H_RECMND_DY,"Patients who reported YES, they would definitely recommend the hospital","""YES"", patients would definitely recommend the hospital",Not Applicable,,77,,748,,35%,,7/1/2016,6/30/2017
11032F,"MARTIN ARMY COMMUNITY HOSPITAL, FT. BENNING",6600 VAN AALST BOULEVARD,FORT BENNING,GA,31905,CHATTAHOOCHEE,(762) 408-2604,H_RECMND_STAR_RATING,Recommend hospital - star rating,Recommend hospital - star rating,4,,Not Applicable,,748,,35%,,7/1/2016,6/30/2017
11032F,"MARTIN ARMY COMMUNITY HOSPITAL, FT. BENNING",6600 VAN AALST BOULEVARD,FORT BENNING,GA,31905,CHATTAHOOCHEE,(762) 408-2604,H_STAR_RATING,Summary star rating,Summary star rating,4,,Not Applicable,,748,,35%,,7/1/2016,6/30/2017
11035F,"WINN ARMY COMMUNITY HOSPITAL, FT. STEWART",1061 HARMON AVENUE,FORT STEWART,GA,31314,LIBERTY,(912) 435-6633,H_CLEAN_HSP_A_P,"Patients who reported that their room and bathroom were ""Always"" clean","Room was ""Always"" clean",Not Applicable,,73,,610,,35%,,7/1/2016,6/30/2017
11035F,"WINN ARMY COMMUNITY HOSPITAL, FT. STEWART",1061 HARMON AVENUE,FORT STEWART,GA,31314,LIBERTY,(912) 435-6633,H_CLEAN_STAR_RATING,Cleanliness - star rating,Cleanliness - star rating,2,,Not Applicable,,610,,35%,,7/1/2016,6/30/2017
11035F,"WINN ARMY COMMUNITY HOSPITAL, FT. STEWART",1061 HARMON AVENUE,FORT STEWART,GA,31314,LIBERTY,(912) 435-6633,H_COMP_1_A_P,"Patients who reported that their nurses ""Always"" communicated well","Nurses ""Always"" communicated well",Not Applicable,,84,,610,,35%,,7/1/2016,6/30/2017
11035F,"WINN ARMY COMMUNITY HOSPITAL, FT. STEWART",1061 HARMON AVENUE,FORT STEWART,GA,31314,LIBERTY,(912) 435-6633,H_COMP_1_STAR_RATING,Nurse communication - star rating,Nurse communication - star rating,4,,Not Applicable,,610,,35%,,7/1/2016,6/30/2017
11035F,"WINN ARMY COMMUNITY HOSPITAL, FT. STEWART",1061 HARMON AVENUE,FORT STEWART,GA,31314,LIBERTY,(912) 435-6633,H_COMP_2_A_P,"Patients who reported that their doctors ""Always"" communicated well","Doctors ""Always"" communicated well",Not Applicable,,83,,610,,35%,,7/1/2016,6/30/2017
11035F,"WINN ARMY COMMUNITY HOSPITAL, FT. STEWART",1061 HARMON AVENUE,FORT STEWART,GA,31314,LIBERTY,(912) 435-6633,H_COMP_2_STAR_RATING,Doctor communication - star rating,Doctor communication - star rating,3,,Not Applicable,,610,,35%,,7/1/2016,6/30/2017
11035F,"WINN ARMY COMMUNITY HOSPITAL, FT. STEWART",1061 HARMON AVENUE,FORT STEWART,GA,31314,LIBERTY,(912) 435-6633,H_COMP_3_A_P,"Patients who reported that they ""Always"" received help as soon as they wanted","Patients ""Always"" received help as soon as they wanted",Not Applicable,,75,,610,,35%,,7/1/2016,6/30/2017
11035F,"WINN ARMY COMMUNITY HOSPITAL, FT. STEWART",1061 HARMON AVENUE,FORT STEWART,GA,31314,LIBERTY,(912) 435-6633,H_COMP_3_STAR_RATING,Staff responsiveness - star rating,Staff responsiveness - star rating,4,,Not Applicable,,610,,35%,,7/1/2016,6/30/2017
11035F,"WINN ARMY COMMUNITY HOSPITAL, FT. STEWART",1061 HARMON AVENUE,FORT STEWART,GA,31314,LIBERTY,(912) 435-6633,H_COMP_4_A_P,"Patients who reported that their pain was ""Always"" well controlled","Pain was ""Always"" well controlled",Not Applicable,,Not Available,5 - Results are not available for this reporting period.,610,,35%,,7/1/2016,6/30/2017
11035F,"WINN ARMY COMMUNITY HOSPITAL, FT. STEWART",1061 HARMON AVENUE,FORT STEWART,GA,31314,LIBERTY,(912) 435-6633,H_COMP_4_STAR_RATING,Pain management - star rating,Pain management - star rating,Not Available,5 - Results are not available for this reporting period.,Not Applicable,,610,,35%,,7/1/2016,6/30/2017
11035F,"WINN ARMY COMMUNITY HOSPITAL, FT. STEWART",1061 HARMON AVENUE,FORT STEWART,GA,31314,LIBERTY,(912) 435-6633,H_COMP_5_A_P,"Patients who reported that staff ""Always"" explained about medicines before giving it to them","Staff ""Always"" explained",Not Applicable,,71,,610,,35%,,7/1/2016,6/30/2017
